"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53398","11000UQ171PS201912150030","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","79277.71332670","1695.03002930"
"53397","11000UQ171PS201912150029","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1096.11763925","134.78700256"
"53396","11000UQ171PS201912150028","UQQ900"," "," ","UQQ900","11000EZZ201006071966","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","24401.47713470","799.79199219"
"53395","11000UQ171PS201912150025","UQQ900"," "," ","UQQ900","11000EZZ201010072007","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","15044.69106920","874.85101318"
"53394","11000UQ171PS201912150024","UQQ900"," "," ","UQQ900","11000EZZ200901021772","11000NTC200810302309","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","32033.59608220","977.09301758"
"53393","11000UQ171PS201912150023","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","24302.66217710","822.69396973"
"53392","11000UQ171PS201912150022","UQQ900"," "," ","UQQ900","11000EZZ201511122136","11000NTC201508207573","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","137739.11728700","3623.87988281"
"53391","11000UQ171PS201912150021","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","3166.20812010","272.40200806"
"53390","11000UQ171PS201912150020","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1157.22292651","207.21200562"
"53389","11000UQ171PS201912150019","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","408.20885047","85.33370209"
"53388","11000UQ171PS201912150018","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1760.32998360","291.43798828"
"53387","11000UQ171PS201912150017","UQQ900"," "," ","UQQ900","11000EZZ200812231751","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","14359.74306510","550.92797852"
"53386","11000UQ171PS201912150016","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","107.14863379","69.58249664"
"53385","11000UQ171PS201912150015","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","127946.23584100","1689.07995605"
"53384","11000UQ171PS201912150014","UQQ900"," "," ","UQQ900","11000EZZ201611142147","11000NTC201608267859","주택재건축(우성아파트)","11000"," ","2019-12-15 00:00:00.0","88904.79320240","1492.68005371"
"53383","11000UQ171PS201912150013","UQQ900"," "," ","UQQ900","11000EZZ200912181898","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","9120.87920223","449.44198608"
"53382","11000UQ171PS201912150012","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","329.67262740","79.13939667"
"53381","11000UQ171PS201912150011","UQQ900"," "," ","UQQ900","11000EZZ201611142144","11000NTC201608267859","주택재건축(개포주공5단지)","11000"," ","2019-12-15 00:00:00.0","55863.53399470","978.87298584"
"53380","11000UQ171PS201912150010","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","400.12289206","139.39900208"
"53379","11000UQ171PS201912150009","UQQ900"," "," ","UQQ900","11000EZZ201006241975","11000NTC201006215054","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","82079.74460450","1406.83996582"
"53378","11000UQ171PS201912150008","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1771.00513597","168.52299500"
"53377","11000UQ171PS201912150007","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","363193.73357100","3169.67993164"
"53376","11000UQ171PS201912150006","UQQ900"," "," ","UQQ900","11000EZZ200812231756","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","9689.90323101","538.42602539"
"53375","11000UQ171PS201912150005","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","6097.49865091","407.38500977"
"53374","11000UQ171PS201912150004","UQQ900"," "," ","UQQ900","11000EZZ201005141946","11000NTC201005134919","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","211358.61557400","2330.64990234"
"53373","11000UQ171PS201912150218","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1856.42938127","219.27799988"
"53372","11000UQ171PS201912150217","UQQ900"," "," ","UQQ900","11000EZZ201005181951","11000NTC201004294858","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","49790.88066000","979.50402832"
"53371","11000UQ171PS201912150216","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","4169.45655747","381.40701294"
"53370","11000UQ171PS201912150215","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","24790.38977260","924.11401367"
"53369","11000UQ171PS201912150214","UQQ900"," "," ","UQQ900","11000EZZ201203132058","11000NTC201202236415","개발행위제한지역(총계)","11000"," ","2019-12-15 00:00:00.0","563423.55259900","5775.66992188"
"53368","11000UQ171PS201912150213","UQQ900"," "," ","UQQ900","11000EZZ200912181895","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","88920.96654220","1653.65002441"
"53367","11000UQ171PS201912150212","UQQ900"," "," ","UQQ900","11000EZZ200812231761","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","11508.32752800","462.44601440"
"53366","11000UQ171PS201912150211","UQQ900"," "," ","UQQ900","11000EZZ200812231762","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","13718.11597280","560.07299805"
"53365","11000UQ171PS201912150210","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","653.60673054","114.76999664"
"53364","11000UQ171PS201912150209","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","91882.87052080","1967.31994629"
"53363","11000UQ171PS201912150208","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","124419.02880300","3056.83007813"
"53362","11000UQ171PS201912150207","UQQ900"," "," ","UQQ900","11000EZZ200812231754","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","40222.86311280","1007.78997803"
"53361","11000UQ171PS201912150206","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","38230.24273770","962.42797852"
"53360","11000UQ171PS201912150205","UQQ900"," "," ","UQQ900","11000EZZ200812121738","11000NTC200810162271","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","6465.04435164","451.01901245"
"53359","11000UQ171PS201912150204","UQQ900"," "," ","UQQ900","11000EZZ201611232155","11000NTC201606177803","주태재건축정비예정구역_미도아파트","11000"," ","2019-12-15 00:00:00.0","195080.43839700","1873.04003906"
"53358","11000UQ171PS201912150203","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","369.91434746","84.92859650"
"53357","11000UQ171PS201912150202","UQQ900"," "," ","UQQ900","11000EZZ200812241766","11000NTC200901022595","답십리 245번지외 2개소 제1종지구단위계획 구역지정","11000"," ","2019-12-15 00:00:00.0","39859.61304160","1060.27001953"
"53356","11000UQ171PS201912150201","UQQ900"," "," ","UQQ900","11000EZZ201007051989","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","20003.78700330","716.09802246"
"53355","11000UQ171PS201912150285","UQQ900"," "," ","UQQ900","11000EZZ201006151972","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","13154.49027990","463.58898926"
