"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"115261","11000UQ153PS201912153027","UQT300","UQT390"," ","UQT390","11000URZ198111133358","11000NTC198111134440","아현제1녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","1384.90840944","172.77417892"
"115262","11000UQ153PS201912153151","UQT300","UQT320"," ","UQT320","11000URZ200206275165","11000NTC200206272788","경관녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","2379.83539772","752.25482375"
"115619","11000UQ153PS201912152533","UQT200","UQT205"," ","UQT205","11000URZ201005134614","11000NTC201005134921","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","2628.57699998","298.69894158"
"115620","11000UQ153PS201912152535","UQT200","UQT205"," ","UQT205","11000URZ200807108812","11000NTC200807102047","공원2","11000"," ","EMA0009","2019-12-15 00:00:00.0","2041.62433725","213.06142689"
"115621","11000UQ153PS201912152536","UQT200","UQT220"," ","UQT220","11000URZ199401089961","11000NTC199401084285","고인돌공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","4579.01984760","301.04209656"
"115622","11000UQ153PS201912152537","UQT200","UQT205"," ","UQT205","11000URZ200706288883","11000NTC200706281192","저동1소공원","11000","2","EMA0009","2019-12-15 00:00:00.0","212.07376631","62.63069936"
"115623","11000UQ153PS201912152538","UQT200","UQT210"," ","UQT210","11000URZ199601083913","11000NTC199601085748","은하수공원","11000","가스공급설비1","EMA0009","2019-12-15 00:00:00.0","3825.78793302","273.30874264"
"115624","11000UQ153PS201912152539","UQT200","UQT210"," ","UQT210","11000URZ199807286700","11000NTC199807288135","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","2005.67680392","180.38056526"
"115625","11000UQ153PS201912152540","UQT200","UQT210"," ","UQT210","11000URZ200902054073","11000NTC200902052742","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","3220.26557424","239.38217425"
"115630","11000UQ153PS201912155078","UQT500","UQT510"," ","UQT510","11000URZ201909260684","11000NTC201905231119","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","29.56406515","26.74074538"
"115631","11000UQ153PS201912152104","UQT200","UQT210"," ","UQT210","11000URZ199601082194","11000NTC199601085748","안산골공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1500.47532275","155.43260261"
"115632","11000UQ153PS201912152105","UQT200","UQT220"," ","UQT220","11000URZ200601170158","11000NTC200601179549","두레공원","11000","⑦","EMA0009","2019-12-15 00:00:00.0","11945.21288340","457.66100256"
"115633","11000UQ153PS201912152106","UQT200","UQT260"," ","UQT260","11000URZ200905285800","11000NTC200905283387","동묘","11000"," ","EMA0009","2019-12-15 00:00:00.0","8270.60363103","379.25743401"
"115634","11000UQ153PS201912152107","UQT200","UQT210"," ","UQT210","11000URZ200006210228","11000NTC200006219658","은하수공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1500.15249988","187.03570349"
"115635","11000UQ153PS201912152108","UQT200","UQT205"," ","UQT205","11000URZ201112016762","11000NTC201112016323","소공원","11000","4","EMA0009","2019-12-15 00:00:00.0","2130.42067525","198.38297154"
"115636","11000UQ153PS201912152109","UQT200","UQT220"," ","UQT220","11000URZ199612092187","11000NTC199612096532","등촌공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","10051.64672240","415.04775321"
"115637","11000UQ153PS201912152110","UQT200","UQT270"," ","UQT270","11000URZ200804035128","11000NTC200804031893","문화공원","11000","418","EMA0009","2019-12-15 00:00:00.0","3913.26063730","261.75025488"
"115638","11000UQ153PS201912152111","UQT200","UQT210"," ","UQT210","11000URZ199607272631","11000NTC199607276244","일원까치공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1476.28740302","183.41734697"
"115639","11000UQ153PS201912152112","UQT200","UQT210"," ","UQT210","11000URZ199505200103","11000NTC199505205251","소파공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1016.92428081","130.78132023"
"115640","11000UQ153PS201912150124","UQT100","UQT190"," ","UQT190","11000URZ197711093536","11000NTC197711092245","사당광장","11000"," ","EMA0009","2019-12-15 00:00:00.0","6954.97424217","356.19775373"
"115641","11000UQ153PS201912155068","UQT500","UQT510"," ","UQT510","11000URZ201907290479","11000NTC201812271002","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","2168.39787723","350.18368897"
"115642","11000UQ153PS201912150125","UQT100","UQT190"," ","UQT190","11000URZ000000001531"," ","광장","11000"," ","EMA0009","2019-12-15 00:00:00.0","12263.65076920","441.83300061"
"115643","11000UQ153PS201912150126","UQT100","UQT190"," ","UQT190","11000URZ198204295666","11000NTC198204294672","풍납광장","11000","1","EMA0009","2019-12-15 00:00:00.0","1197.78482800","169.31560145"
"115644","11000UQ153PS201912150127","UQT100","UQT190"," ","UQT190","11000URZ199106053467","11000NTC199106052378","교통광장","11000"," ","EMA0009","2019-12-15 00:00:00.0","4986.02208713","475.39042782"
"115993","11000UQ153PS201912150685","UQT200","UQT205"," ","UQT205","11000URZ201004224132","11000NTC201004224815","공원","11000","7","EMA0009","2019-12-15 00:00:00.0","878.45676070","126.01676577"
"115994","11000UQ153PS201912150686","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","기타 공원시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","11166.38099880","470.42440642"
"115995","11000UQ153PS201912150687","UQT200","UQT210"," ","UQT210","11000URZ199505200104","11000NTC199505205251","호돌이공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","810.38227784","116.59821546"
