DGM_NM,gid
등서초등학교,다사429504
등서초등학교,다사430504
등서초등학교,다사430503
등서초등학교,다사430505
신도림초등학교,다사454461
신도림초등학교,다사455460
신도림초등학교,다사454460
신도림초등학교,다사453461
신도림초등학교,다사453460
대동초등학교,다사470439
대동초등학교,다사469438
대동초등학교,다사470438
대동초등학교,다사470440
대동초등학교,다사469440
대동초등학교,다사468439
대동초등학교,다사469439
미래초등학교,다사458452
미래초등학교,다사459453
미래초등학교,다사459452
초등학교(국민학교),다사456444
초등학교(국민학교),다사456442
초등학교(국민학교),다사456443
신양초등학교,다사619483
신양초등학교,다사618485
신양초등학교,다사619485
신양초등학교,다사620484
신양초등학교,다사619484
신양초등학교,다사618484
상명사범대학부속국교,다사520557
상명사범대학부속국교,다사519558
상명사범대학부속국교,다사520558
상명사범대학부속국교,다사521558
상명사범대학부속국교,다사521557
수서초등학교,다사648436
수서초등학교,다사647436
수서초등학교,다사647435
수서초등학교,다사648435
문래초등학교,다사463467
문래초등학교,다사463468
문래초등학교,다사464468
문래초등학교,다사464467
토성초등학교,다사659481
토성초등학교,다사659480
토성초등학교,다사660481
토성초등학교,다사660480
신원초등학교,다사408480
신원초등학교,다사409479
신원초등학교,다사407480
신원초등학교,다사407479
신원초등학교,다사408479
신원초등학교,다사415490
신원초등학교,다사416492
신원초등학교,다사416490
신원초등학교,다사416491
신원초등학교,다사415492
신원초등학교,다사415491
공덕초등학교,다사518497
공덕초등학교,다사516497
공덕초등학교,다사517496
공덕초등학교,다사517498
공덕초등학교,다사517497
공덕초등학교,다사518496
창서초등학교,다사500510
창서초등학교,다사499511
창서초등학교,다사499510
창서초등학교,다사500511
개명초등학교,다사425429
개명초등학교,다사425427
개명초등학교,다사426427
개명초등학교,다사426429
개명초등학교,다사426428
개명초등학교,다사425428
동교초등학교,다사471511
동교초등학교,다사473510
동교초등학교,다사472511
동교초등학교,다사472510
동교초등학교,다사472512
동명초등학교,다사589523
동명초등학교,다사590523
동명초등학교,다사590521
동명초등학교,다사589522
동명초등학교,다사589521
동명초등학교,다사590522
학교,다사432490
학교,다사433490
학교,다사432488
학교,다사431489
학교,다사433489
학교,다사431488
학교,다사433488
학교,다사432489
학교,다사431490
서울시립대학교,다사613537
서울시립대학교,다사611537
서울시립대학교,다사607537
서울시립대학교,다사606539
서울시립대학교,다사613541
서울시립대학교,다사608541
서울시립대학교,다사608542
서울시립대학교,다사609541
서울시립대학교,다사607541
서울시립대학교,다사613536
서울시립대학교,다사612541
서울시립대학교,다사608536
서울시립대학교,다사607539
서울시립대학교,다사607540
서울시립대학교,다사612540
서울시립대학교,다사611540
서울시립대학교,다사607538
서울시립대학교,다사612535
서울시립대학교,다사612536
서울시립대학교,다사612534
서울시립대학교,다사614538
서울시립대학교,다사612537
서울시립대학교,다사614539
서울시립대학교,다사609539
서울시립대학교,다사613539
서울시립대학교,다사609538
서울시립대학교,다사609540
서울시립대학교,다사608538
서울시립대학교,다사610538
서울시립대학교,다사608537
서울시립대학교,다사609537
서울시립대학교,다사610539
서울시립대학교,다사613534
서울시립대학교,다사613535
서울시립대학교,다사611539
서울시립대학교,다사614536
서울시립대학교,다사608539
서울시립대학교,다사615539
서울시립대학교,다사611538
서울시립대학교,다사610537
서울시립대학교,다사615540
서울시립대학교,다사610540
서울시립대학교,다사612538
서울시립대학교,다사612539
서울시립대학교,다사613540
서울시립대학교,다사614537
서울시립대학교,다사613538
서울시립대학교,다사614540
서울시립대학교,다사608540
윤중초등학교,다사489469
윤중초등학교,다사490469
윤중초등학교,다사489467
윤중초등학교,다사490468
윤중초등학교,다사490467
윤중초등학교,다사489468
초등학교,다사712506
초등학교,다사711505
초등학교,다사712505
초등학교,다사710506
초등학교,다사711506
구암고등학교(가칭),다사515438
구암고등학교(가칭),다사513438
구암고등학교(가칭),다사514438
구암고등학교(가칭),다사515437
구암고등학교(가칭),다사513437
구암고등학교(가칭),다사514437
구암고등학교(가칭),다사513438
구암고등학교(가칭),다사514438
구암고등학교(가칭),다사515438
구암고등학교(가칭),다사515437
초등학교(국민학교),다사452542
초등학교(국민학교),다사453541
초등학교(국민학교),다사453542
초등학교(국민학교),다사452541
학교,다사495593
학교,다사496594
학교,다사495594
학교,다사496593
문덕초등학교,다사671430
문덕초등학교,다사670428
문덕초등학교,다사669429
문덕초등학교,다사669430
문덕초등학교,다사669428
문덕초등학교,다사671428
문덕초등학교,다사670429
문덕초등학교,다사670430
문덕초등학교,다사671429
남부초등학교,다사489430
남부초등학교,다사489429
남부초등학교,다사488430
남부초등학교,다사488429
아주초.중학교,다사626451
아주초.중학교,다사626452
아주초.중학교,다사624450
아주초.중학교,다사625452
아주초.중학교,다사625450
아주초.중학교,다사625451
아주초.중학교,다사624451
아주초.중학교,다사624452
삼릉초등학교,다사600460
삼릉초등학교,다사599460
삼릉초등학교,다사599459
삼릉초등학교,다사599461
화일초등학교,다사423491
화일초등학교,다사423492
화일초등학교,다사424491
화일초등학교,다사423493
화일초등학교,다사424492
서울신길초등학교,다사492458
서울신길초등학교,다사493458
서울신길초등학교,다사492457
서울신길초등학교,다사493457
초등학교(국민학교),다사403506
