번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
316,전남,목포시,1,0,0,0,0,"77,264"
317,인천,계양구,1,0,0,0,0,"77,136"
318,경남,양산시,2,0,0,0,0,"77,028"
319,강원,동해시,1,0,0,0,0,"76,740"
320,전북,전주시,1,0,0,0,0,"76,653"
321,경기,평택시,1,0,0,0,0,"76,445"
322,경기,고양시,1,0,0,0,0,"76,380"
323,경기,시흥시,1,0,0,0,0,"76,247"
324,충남,서천군,1,1,0,0,0,"76,229"
325,서울,강동구,1,0,0,0,0,"76,141"
326,전북,군산시,1,0,0,0,0,"76,135"
327,전남,여수시,2,0,0,0,0,"75,672"
328,인천,부평구,1,0,0,0,0,"75,645"
329,제주,서귀포시,1,0,0,0,0,"75,460"
330,광주,광산구,1,0,0,0,0,"74,961"
331,서울,중랑구,1,0,0,0,0,"74,942"
332,경기,시흥시,1,0,0,0,0,"74,638"
333,경남,김해시,1,0,0,0,0,"74,198"
334,제주,서귀포시,2,0,0,0,0,"74,018"
335,부산,북구,1,0,0,0,0,"73,671"
336,대구,동구,1,0,0,0,0,"72,936"
337,충북,충주시,1,0,0,0,0,"72,665"
338,부산,영도구,4,0,0,0,0,"72,449"
339,광주,광산구,1,0,0,0,0,"72,050"
340,제주,제주시,1,0,0,0,0,"71,974"
341,강원,평창군,1,0,0,0,0,"71,859"
342,경북,영주시,1,0,0,0,0,"71,634"
343,강원,강릉시,1,0,0,0,0,"71,633"
344,경기,김포시,1,0,0,0,0,"71,473"
345,제주,제주시,1,0,0,0,0,"71,140"
346,전북,익산시,1,0,0,0,0,"71,020"
347,경기,양주시,2,0,0,0,0,"70,748"
348,강원,삼척시,1,0,0,0,0,"70,654"
349,충북,증평군,1,0,0,0,0,"70,460"
350,제주,제주시,1,0,0,0,0,"70,405"
351,서울,성동구,2,0,0,0,0,"70,297"
352,전북,전주시,1,0,0,0,0,"70,228"
353,전남,여수시,1,0,0,0,0,"70,222"
354,강원,속초시,1,0,0,0,0,"69,949"
355,경기,포천시,1,0,0,0,0,"69,880"
356,경남,통영시,1,0,0,0,0,"69,862"
357,전남,해남군,2,0,0,0,0,"69,798"
358,인천,동구,1,0,0,0,0,"69,731"
359,경북,영천시,2,0,0,0,0,"69,710"
360,경기,고양시,1,0,0,0,0,"69,638"
361,서울,은평구,1,0,0,0,0,"68,995"
362,대구,달성군,1,0,0,0,0,"68,966"
363,대전,유성구,1,0,0,0,0,"68,729"
364,충북,음성군,1,0,0,0,0,"68,693"
365,광주,광산구,1,0,0,0,0,"68,642"
366,경북,안동시,2,0,0,0,0,"68,577"
367,대구,달서구,1,0,0,0,0,"68,355"
368,경북,울진군,1,0,0,0,0,"68,234"
369,강원,강릉시,1,0,0,0,0,"68,204"
370,경남,창원시,1,0,0,0,0,"67,625"
371,서울,동대문구,3,0,0,0,0,"67,608"
372,제주,서귀포시,2,0,0,0,0,"67,571"
373,경기,양주시,1,0,0,0,0,"67,220"
374,경남,창원시,1,0,0,0,0,"66,908"
375,인천,동구,1,0,0,0,0,"66,623"
376,전남,순천시,1,0,0,0,0,"66,418"
377,강원,강릉시,1,0,0,0,0,"66,143"
378,전북,완주군,1,0,0,0,0,"66,093"
379,경남,창원시,1,0,0,0,0,"65,969"
380,경남,양산시,1,0,0,0,0,"65,672"
381,인천,부평구,1,0,0,0,0,"65,508"
382,대구,북구,1,0,0,0,0,"65,507"
383,경기,고양시,1,0,0,0,0,"65,428"
384,경남,진주시,1,0,0,0,0,"65,354"
385,강원,강릉시,1,0,0,0,0,"65,020"
386,충북,음성군,1,0,0,0,0,"64,874"
387,경기,성남시,2,0,0,0,0,"64,330"
388,충남,당진시,1,0,0,0,0,"64,288"
389,강원,춘천시,1,0,0,0,0,"63,964"
390,광주,동구,1,0,0,0,0,"63,752"
391,경기,고양시,1,0,0,0,0,"63,691"
