시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
서울특별시,마곡수명산파크5단지,서울특별시 강서구 내발산동 749,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡수명산파크8단지,서울특별시 강서구 내발산동 745,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡엠밸리11단지아파트,서울특별시 강서구 마곡동 공항대로 124,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡엠밸리2단지,서울특별시 강서구 마곡동 마곡서1로 146,0 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡엠밸리6단지,서울특별시 강서구 마곡동 743,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡엠밸리8단지,서울특별시 강서구 마곡동 마곡서1로 81,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,미주진로아파트,서울특별시 강서구 등촌동 701,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,방화동부센트레빌,서울특별시 강서구 방화동 875,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,방화동성아파트,서울특별시 강서구 방화동 금낭화로23길 8,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,한국공항공사 고객전용주차장,서울특별시 강서구 과해동 676,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,한국공항공사 서울,서울특별시 강서구 방화동 886,4 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,한사랑2차삼성 아파트,서울특별시 강서구 공항대로59길 64,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,화곡초록 아파트,서울특별시 강서구 화곡동 1139,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,관악구 종합체육센타,서울특별시 관악구 봉천동 225,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,관악구 평생학습관,서울특별시 관악구 신림동 1577-4,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,관악동작 견인차량 보관소,서울특별시 관악구 신사로 7,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,봉천건영6차아파트,서울특별시 관악구 봉천동 1701,0 ,1 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
서울특별시,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,신동아 아파트,서울특별시 관악구 신림동 신림로 11길 151,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
