순번,종류,번호,가로시설물,설치일,공사구분,공사날짜,공사내용,이력변경,좌표(Poi_X),좌표(Poi_Y),전원투입,행정구,지번 주소,도로명 주소,위치명
114,쉘터형 택시 승차대,Q-11,표준형TS,2011-07-04,,,,,127.05256,37.53964,,성동구,성수2가 1동 333,뚝섬로 379,이마트 앞
115,쉘터형 택시 승차대,Q-12,표준형TS,2014-07-16,,,,,127.04008,37.55733,,성동구,행당동 155-1,살곶이길 352,서울숲더샵 앞
116,쉘터형 택시 승차대,R-01,표준형TS,2011-01-30,,,,,127.02418,37.6016,OK,성북구,길음1동 530,동서문로 248,돈암삼성아파트 101동 앞
117,쉘터형 택시 승차대,R-04,표준형TS,2011-01-07,,,,,127.03585,37.58961,,성북구,안암동5가 1,안암로 145,고려대역 1번 출구 앞
118,쉘터형 택시 승차대,R-12,표준형TS,2011-01-25,,,,,127.04137,37.60145,OK,성북구,월곡 2동 34-44,월곡로 106-1,광흥빌딩 앞(월곡역 5번출구 방향)
119,쉘터형 택시 승차대,S-01,표준형TS,2011-01-05,,,,,127.07756,37.51144,,송파구,잠실본동 181-4,올림픽로 44,신천역 국민은행 앞
120,쉘터형 택시 승차대,S-02,표준형TS,2011-01-04,,,,,127.13505,37.49821,,송파구,오금동 165-1,오금로 432,개롱역 2번 출구 앞
121,쉘터형 택시 승차대,S-06,표준형TS,2016-09-30,,,,,127.10117,37.51226,,송파구,신천동 29,송파대로 514,롯데 너구리동상 건너(롯데월드타워 신축부지)
122,쉘터형 택시 승차대,S-12,표준형TS,2011-02-24,,,,,127.10651,37.51524,,송파구,신천동 29-5,올림픽로 326,송파구청 앞(교통회관 건너)
123,쉘터형 택시 승차대,S-13,표준형TS,2010-12-29,,,,,127.12666,37.51265,,송파구,방이동 88-2,올림픽로 424,올림픽공원 컨벤션센터 앞
124,쉘터형 택시 승차대,S-15,표준형TS,2011-01-05,,,,,127.08474,37.51183,,송파구,잠실동 19 ,올림픽로 119,파인애플상가 앞(신천역 5번출구)
125,쉘터형 택시 승차대,S-17,표준형TS,2011-01-05,,,,,127.07656,37.51179,,송파구,잠실동 10,올림픽로 23,잠실 학생체육관 입구
126,쉘터형 택시 승차대,S-18,표준형TS,2011-02-16,,,,,127.12337,37.51347,,송파구,방이동 181,위례성대로 102,태평양파크아파트 앞(청담어학원 우측)
127,쉘터형 택시 승차대,S-19,표준형TS,2011-02-22,,,,,127.11764,37.52854,OK,송파구,풍납동 402,올림픽로47길,풍납동쌍용아파트 103동
128,쉘터형 택시 승차대,S-21,표준형TS,2011-02-22,,,,,127.11498,37.51692,,송파구,방이동 89,위례성대로 51,올림픽공원 남4문 앞(임마누엘교회 건너)
129,쉘터형 택시 승차대,S-22,표준형TS,2016-03-22,,,,,127.1302,37.51554,,송파구,방이동 89-28,올림픽로 424,올림픽테니스장 앞(올림픽공원 동2문)
130,쉘터형 택시 승차대,S-23,표준형TS,2011-01-05,,,,,127.12619,37.50927,OK,송파구,방이동 206,양재대로71길,잠뱅이빌딩 앞(방이역 4번출구)
131,쉘터형 택시 승차대,S-24,표준형TS,2010-12-27,,,,,127.10801,37.51574,,송파구,방이동 23-2,올림픽로 342,대동타워 앞(형인타워)
132,쉘터형 택시 승차대,S-25,표준형TS,2016-10-05,,,,,127.10111,37.51164,,송파구,잠실동 40-1,올림픽로 240,롯데호텔월드 앞(너구리동상)
133,쉘터형 택시 승차대,S-27,표준형TS,2011-01-04,,,,,127.12696,37.50086,OK,송파구,가락동 10-3번지,중대로 23길,ICM모터스 앞(송파경찰서 좌측)
134,쉘터형 택시 승차대,S-29,표준형TS,2011-02-15,,,,,127.08844,37.51133,,송파구,잠실동 33,올림픽로 140,잠실트리지움 306동 앞(잠실2동주민센터 건너)
135,쉘터형 택시 승차대,S-36,표준형TS,2011-02-23,,,,,127.105,37.51509,,송파구,신천동 11-7,올림픽로 319,교통회관 앞(서울시교통연수원)
136,쉘터형 택시 승차대,S-37,표준형TS,2011-02-17,이설,2020-06-11,CCTV 이전공사로 인한 승차대 이전설치,6월 이설,127.0971,37.51227,,송파구,잠실동 40-1,올림픽로 240,롯데월드 정문 앞
137,쉘터형 택시 승차대,S-38,표준형TS,2011-02-23,,,,,127.07921,37.50848,OK,송파구,잠실동 196-4,백제고분로 83,에펠타워 앞
138,쉘터형 택시 승차대,S-46,표준형TS,2012-05-24,,,,,127.11998,37.47843,,송파구,문정동 409,충민로,가든파이브웨딩컨벤션 앞(래미안갤러리 건너)
139,쉘터형 택시 승차대,S-47,표준형TS,2015-06-15,,,,,127.10779,37.50637,,송파구,송파동 68,백제고분로 385,임진각빌딩(석촌역2번출구)
140,쉘터형 택시 승차대,T-02,표준형TS,2011-10-13,,,,,126.8744,37.52474,,양천구,목동 406-184,오목로 331,황실스튜디오 앞(목화금호아파트 102동)
141,쉘터형 택시 승차대,T-05,표준형TS,2011-10-19,,,,,126.86513,37.52592,OK,양천구,목동 927,목동로 212,목동아파트7단지 734동 앞(목동역 5번출구)
142,쉘터형 택시 승차대,T-11,표준형TS,2011-10-17,,,,,126.86889,37.52229,OK,양천구,신정동 314,목동서로 280,목동아파트8단지 804동 앞
143,쉘터형 택시 승차대,T-13,표준형TS,2011-10-17,,,,,126.86211,37.51671,OK,양천구,신정동 312,목동서로 340,목동아파트9단지 931동 앞(E스타빌 건너)
144,쉘터형 택시 승차대,T-15,표준형TS,2011-10-13,,,,,126.86589,37.51804,,양천구,신정동 313,목동서로 340,목동아파트9단지 912동 앞(양천구보건소 건너)
145,쉘터형 택시 승차대,T-17,표준형TS,2011-10-18,,,,,126.86418,37.52669,OK,양천구,신정동 900-10,목동로 203,로데오빌딩 앞(우리은행 목동역지점)
146,쉘터형 택시 승차대,T-19,표준형TS,2011-10-18,,,,,126.8646,37.52491,OK,양천구,신정동 995,목동로 189,진성빌딩 앞(하나대투증권 목동지점)
147,쉘터형 택시 승차대,T-20,표준형TS,2011-10-24,,,,,126.88402,37.53681,,양천구,목동 911,목동동로 430,목동6단지아파트 601동 앞
148,쉘터형 택시 승차대,T-25,표준형TS,2011-10-24,,,,,126.882,37.53786,,양천구,목동 901,목동서로 38,한신청구아파트 134동 앞
149,쉘터형 택시 승차대,T-26,TS(시범),2002-01-01,,,,,126.86284,37.51003,OK,양천구,신정동 276,목동로3길 41,양천아파트 단지내 114동~105동 사이도로
150,쉘터형 택시 승차대,T-28,표준형TS,2011-11-26,,,,,126.86441,37.52287,,양천구,신정동 313-1,신월로 386,서울남부지방법원 앞
151,쉘터형 택시 승차대,U-05,표준형TS,2011-04-05,,,,,126.90998,37.51746,,영등포구,영등포동3가4-4,영등포로236,영등포재래시장 건너(세븐일레븐 앞)
152,쉘터형 택시 승차대,U-08,표준형TS,2011-04-01,,,,,126.9012,37.52677,OK,영등포구,당산동3가2-11,국회대로 608,영등포경찰서 앞
153,쉘터형 택시 승차대,U-11,표준형TS,2011-04-07,,,,,126.89696,37.52674,,영등포구,당산동3가 386-1,당산로 133,국민은행 영등포구청지점 앞(영등포구청 3번출구)
154,쉘터형 택시 승차대,U-15,표준형TS,2011-04-14,,,,,126.90775,37.49081,OK,영등포구,대림동962-5,시흥대로 659,천지당약국 앞(대림성모병원 옆)
