,gid,행정동,공공_문화체육,유통_공급시설,환경기초시설
687,다사377502,공항동,0,0,0
688,다사377503,공항동,0,0,0
689,다사377504,공항동,0,0,0
690,다사377505,공항동,0,0,0
691,다사377506,공항동,0,0,0
692,다사377507,공항동,0,0,0
693,다사377508,공항동,0,0,0
694,다사377509,공항동,0,0,0
695,다사377510,공항동,0,0,0
696,다사377511,공항동,0,0,0
697,다사377512,공항동,0,0,0
698,다사377513,공항동,0,0,0
699,다사377514,공항동,0,0,0
700,다사377515,공항동,0,0,0
701,다사377516,공항동,0,0,0
702,다사377517,공항동,0,0,0
703,다사377518,공항동,0,0,0
704,다사377519,공항동,0,0,0
705,다사377520,공항동,0,0,0
706,다사377521,공항동,0,0,0
707,다사377522,공항동,0,0,0
708,다사377523,공항동,0,0,0
709,다사377524,공항동,0,0,0
710,다사377525,공항동,0,0,0
711,다사377526,공항동,0,0,0
712,다사377527,방화2동,0,0,0
713,다사377528,방화2동,0,0,0
714,다사377529,방화2동,0,0,0
715,다사377530,방화2동,0,0,0
716,다사377531,방화2동,0,0,0
717,다사377532,방화2동,0,0,0
718,다사377533,방화2동,0,0,0
719,다사377534,방화2동,0,0,0
720,다사377535,방화2동,0,0,0
721,다사377536,방화2동,0,0,0
722,다사377537,방화2동,0,0,0
723,다사377538,방화2동,0,0,0
724,다사377539,방화2동,0,0,0
725,다사377540,방화2동,0,0,0
726,다사377541,방화2동,0,0,0
727,다사377542,방화2동,0,0,0
728,다사378488,공항동,0,0,0
729,다사378489,공항동,0,0,0
730,다사378490,공항동,0,0,0
731,다사378491,공항동,0,0,0
732,다사378492,공항동,0,0,0
733,다사378493,공항동,0,0,0
734,다사378494,공항동,0,0,0
735,다사378495,공항동,0,0,0
736,다사378496,공항동,0,0,0
737,다사378497,공항동,0,0,0
738,다사378498,공항동,0,0,0
739,다사378499,공항동,0,0,0
740,다사378500,공항동,0,0,0
741,다사378501,공항동,0,0,0
742,다사378502,공항동,0,0,0
743,다사378503,공항동,0,0,0
744,다사378504,공항동,0,0,0
745,다사378505,공항동,0,0,0
746,다사378506,공항동,0,0,0
747,다사378507,공항동,0,0,0
748,다사378508,공항동,0,0,0
749,다사378509,공항동,0,0,0
750,다사378510,공항동,0,0,0
751,다사378511,공항동,0,0,0
752,다사378512,공항동,0,0,0
753,다사378513,공항동,0,0,0
754,다사378514,공항동,0,0,0
755,다사378515,공항동,0,0,0
756,다사378516,공항동,0,0,0
757,다사378517,공항동,0,0,0
758,다사378518,공항동,0,0,0
759,다사378519,공항동,0,0,0
760,다사378520,공항동,0,0,0
761,다사378521,공항동,0,0,0
762,다사378522,공항동,0,0,0
763,다사378523,공항동,0,0,0
764,다사378524,공항동,0,0,0
765,다사378525,공항동,0,0,0
766,다사378526,방화2동,0,0,0
767,다사378527,방화2동,0,0,0
768,다사378528,방화2동,0,0,0
769,다사378529,방화2동,0,0,0
770,다사378530,방화2동,0,0,0
771,다사378531,방화2동,0,0,0
772,다사378532,방화2동,0,0,0
773,다사378533,방화2동,0,0,0
774,다사378534,방화2동,0,0,0
775,다사378535,방화2동,0,0,0
776,다사378536,방화2동,0,0,0
777,다사378537,방화2동,0,0,0
778,다사378538,방화2동,0,0,0
779,다사378539,방화2동,0,0,0
780,다사378540,방화2동,0,0,0
781,다사378541,방화2동,0,0,0
782,다사378542,방화2동,0,0,0
783,다사379488,공항동,0,0,0
784,다사379489,공항동,0,0,0
785,다사379490,공항동,0,0,0
786,다사379491,공항동,0,0,0
787,다사379492,공항동,0,0,0
788,다사379493,공항동,0,0,0
789,다사379494,공항동,0,0,0
790,다사379495,공항동,0,0,0
791,다사379496,공항동,0,0,0
792,다사379497,공항동,0,0,0
793,다사379498,공항동,0,0,0
794,다사379499,공항동,0,0,0
795,다사379500,공항동,0,0,0
796,다사379501,공항동,0,0,0
797,다사379502,공항동,0,0,0
798,다사379503,공항동,0,0,0
799,다사379504,공항동,0,0,0
800,다사379505,공항동,0,0,0
801,다사379506,공항동,0,0,0
802,다사379507,공항동,0,0,0
803,다사379508,공항동,0,0,0
804,다사379509,공항동,0,0,0
805,다사379510,공항동,0,0,0
806,다사379511,공항동,0,0,0
807,다사379512,공항동,0,0,0
808,다사379513,공항동,0,0,0
