gid,합계
다사661572,0
다사646526,0
다사652541,0
다사659564,0
다사642535,0
다사658548,0
다사644533,0
다사649572,0
다사661564,0
다사637528,1
다사621545,0
다사642575,0
다사622572,0
다사644541,0
다사661576,0
다사643525,0
다사661578,0
다사659572,0
다사652553,0
다사621544,0
다사662575,0
다사619554,0
다사644525,0
다사659553,0
다사656569,0
다사619551,0
다사639571,0
다사620550,0
다사643526,0
다사653545,0
다사650537,0
다사621562,0
다사627537,0
다사634566,1
다사620573,0
다사634565,0
다사638576,0
다사619552,0
다사642568,0
다사632569,2
다사655553,0
다사635570,3
다사656580,0
다사659574,0
다사647539,0
다사646536,0
다사657563,0
다사626535,0
다사631567,0
다사629534,0
다사651572,0
다사639567,3
다사648532,0
다사656546,0
다사621566,0
다사640565,3
다사627533,0
다사653539,0
다사655579,0
다사660555,0
다사650539,0
다사631566,0
다사652546,0
다사622567,0
다사638563,0
다사620553,0
다사625535,0
다사645526,0
다사661575,0
다사660565,0
다사659560,0
다사652578,0
다사637563,0
다사633570,0
다사632571,0
다사645571,0
다사639529,0
다사663565,0
다사661552,0
다사636579,0
다사654553,0
다사659550,0
다사620552,0
다사660550,0
다사647533,0
다사620548,0
다사645530,0
다사633562,0
다사649567,0
다사656555,0
다사657569,0
다사653578,2
다사622542,0
다사649540,0
다사658561,0
다사662565,0
다사639576,0
다사653566,0
다사642525,0
다사646579,0
다사656575,2
다사643574,0
다사637573,0
다사661550,0
다사639578,0
다사649578,0
다사639525,0
다사660553,0
다사660570,0
다사646538,0
다사661565,0
다사635563,0
다사643576,0
다사648537,0
다사650551,0
다사626536,0
다사651567,0
다사650574,0
다사652539,0
다사638530,0
다사644574,0
다사622575,0
다사639566,3
다사648533,0
다사621569,0
다사654539,0
다사653574,0
다사628577,0
다사647578,0
다사655566,0
다사655570,0
다사660577,0
다사622559,0
다사659576,0
다사626526,0
다사652579,0
다사626533,0
다사622569,0
다사651570,0
다사645578,0
다사662572,0
다사655564,0
다사635579,0
다사654570,0
다사656561,0
다사640568,0
다사651550,0
다사655546,0
다사654554,0
다사645575,0
다사661566,0
다사623537,0
다사645542,0
다사627526,0
다사657549,0
다사662564,0
다사658554,0
다사644531,0
다사649535,0
다사658549,0
다사662571,0
다사639569,0
다사660549,0
다사638524,0
다사655552,0
다사637562,0
다사622564,0
다사623542,0
다사634562,0
다사623540,0
다사654543,0
다사651577,1
다사652549,0
다사621570,0
다사649533,0
다사645531,0
다사650547,0
다사621572,0
다사654572,0
다사645529,0
다사639561,0
다사646528,0
다사653564,0
다사658564,0
다사660558,2
다사628534,0
다사650540,0
다사625536,0
다사638523,0
다사655550,0
다사653537,0
다사658556,0
다사647532,0
다사620555,0
다사633565,0
다사637527,0
다사653538,0
다사621568,0
다사653579,0
다사658575,0
다사660564,0
다사648538,0
다사651549,0
다사632565,0
다사651546,0
다사641575,0
다사638564,0
다사657557,0
다사638565,0
다사648578,0
다사621556,0
다사641569,0
다사655577,0
다사642563,2
다사643540,0
다사649570,0
다사645532,0
다사661573,0
다사632562,0
다사632570,0
다사656578,0
다사652545,0
다사647535,0
다사652552,0
다사636568,3
다사652547,0
다사640527,0
다사636572,0
다사636577,1
다사639570,0
다사662569,0
다사643531,0
다사660574,0
다사657546,0
다사658576,1
다사646534,0
다사658574,2
다사657554,0
다사630578,0
다사636578,0
다사646541,0
다사633564,0
다사634527,1
다사636564,0
다사650571,0
다사655544,0
다사651553,0
다사655561,0
다사656565,0
다사660576,0
다사622563,0
다사626532,0
다사657577,1
다사635561,0
다사651544,0
다사661553,0
다사633576,0
다사659549,0
다사655547,0
다사635564,0
다사638566,1
다사654569,0
다사649565,0
다사652544,0
다사651541,0
다사661571,0
다사652567,0
다사653563,1
다사661549,0
다사642531,0
다사655571,0
다사662563,0
다사649538,0
다사647530,0
다사649551,0
다사637555,0
다사637525,0
다사656556,0
다사659551,0
다사657565,0
다사660575,0
다사645537,0
다사656562,0
다사653540,0
다사628532,0
다사656570,0
다사620547,0
다사637524,0
다사646537,0
다사622556,0
다사644528,0
다사636567,3
다사624575,0
다사651561,0
다사640524,0
다사655567,0
다사649541,0
다사656557,0
다사646533,0
다사653542,0
다사649575,0
다사627577,0
다사655556,0
다사635578,0
다사655545,0
다사637565,0
다사649532,0
다사657555,0
다사638570,0
다사653572,0
다사660571,0
다사653547,0
다사659559,0
다사636526,0
다사636531,0
다사647531,0
다사622573,0
다사620574,0
다사653554,0
다사644573,0
다사657562,0
다사622560,0
다사656568,0
다사660566,0
다사654541,0
다사645576,0
다사648535,0
다사650579,0
다사640553,0
다사660563,0
다사661567,0
다사658563,0
다사626534,0
다사645541,0
다사661570,0
다사634571,0
다사650573,0
다사645567,0
다사653567,0
다사646572,0
다사651551,0
다사654540,0
다사622565,0
다사637523,0
다사651539,0
다사654538,0
다사635571,0
다사648565,0
다사659566,0
다사639530,0
다사640526,0
다사650538,0
다사653541,0
다사650560,0
다사650545,0
다사651552,2
다사650568,0
다사631569,0
다사621546,0
다사639524,0
다사637577,1
다사637569,0
다사632572,0
다사661562,0
다사634570,0
다사662570,0
다사644575,0
다사647534,0
다사635573,0
다사651563,1
다사632567,0
다사647528,0
다사653549,0
다사655543,0
다사656560,0
다사644571,0
다사654567,0
다사639528,0
다사637578,1
다사658560,0
다사651538,0
다사647536,0
다사638528,0
다사640577,0
다사640567,3
다사640525,0
다사642528,0
다사648567,0
다사650565,0
다사646527,0
다사658572,0
다사641524,0
다사637579,0
다사637566,1
다사660572,0
다사653551,0
다사658571,0
다사658557,0
다사659561,0
다사657578,0
다사638527,0
다사642577,0
다사640529,0
다사621561,0
다사638526,0
다사649573,0
다사634567,1
다사641531,0
다사656571,0
다사661551,0
다사622574,0
다사656547,0
다사641557,0
다사641528,0
다사627534,0
다사644537,0
다사633568,1
다사657568,0
다사638577,1
다사622539,0
다사648534,0
다사644570,0
다사620546,0
다사637561,0
다사643529,0
다사659567,0
다사644532,0
다사661563,0
다사643578,0
다사657556,0
다사628531,0
다사622561,0
다사633571,0
다사654550,0
다사659552,0
다사637571,0
다사651540,0
다사654549,0
다사623560,0
다사650535,0
다사647541,0
다사624539,0
다사652573,0
다사641577,0
다사658558,0
다사638567,3
다사641530,0
다사647527,0
다사658550,0
다사632568,0
다사655568,0
다사633563,0
다사631565,0
다사643524,0
다사646530,0
다사646577,0
다사652566,0
다사659575,0
다사640562,1
다사623559,0
다사651578,3
다사648530,0
다사625576,0
다사652551,0
다사654577,0
다사623541,0
다사626537,0
다사639568,0
다사662568,0
다사650552,2
다사622540,0
다사652550,0
다사657576,1
다사660557,0
다사644540,0
다사651543,0
다사656554,0
다사638571,0
다사657561,0
다사625539,0
다사641576,0
다사650541,0
다사621555,0
다사648531,0
다사642526,0
다사643528,0
다사641527,0
다사645538,0
다사660552,0
다사648541,0
다사633569,1
다사624538,0
다사640576,0
다사645533,0
다사660578,0
다사628537,0
다사654555,0
다사645539,0
다사655578,0
다사646539,0
다사654545,0
다사622541,0
다사646535,0
다사653569,0
다사637572,0
다사652538,0
다사655548,0
다사632537,0
다사637564,0
다사629533,0
다사635569,3
다사654552,0
다사658577,0
다사656545,0
다사654547,0
다사659570,0
다사640528,0
다사626530,0
다사646571,0
다사636569,3
다사640564,2
다사638568,0
다사646531,0
다사624535,0
다사622570,0
다사655554,0
다사659555,0
다사650548,0
다사655562,0
다사654565,0
다사654546,0
다사632566,0
다사650536,0
다사632579,0
다사659563,0
다사643573,0
다사659568,0
다사626527,0
다사638578,0
다사622566,1
다사626529,0
다사644579,0
다사630535,0
다사655539,0
다사657550,0
다사631570,0
다사661561,0
다사622557,0
다사651536,0
다사645543,0
다사649539,0
다사659578,0
다사650543,0
다사658559,0
다사624540,0
다사649536,0
다사639565,1
다사657552,0
다사647540,0
다사653548,0
다사653562,0
다사649542,0
다사639564,1
다사623575,0
다사644527,0
다사648539,0
다사645528,0
다사662561,0
다사650570,0
다사653553,0
다사637568,3
다사636571,0
다사660562,0
다사645527,0
다사651562,0
다사633567,1
다사621573,0
다사646540,0
다사653546,0
다사657551,0
다사659569,0
다사637567,1
다사640566,3
다사634579,0
다사639577,0
다사657553,0
다사654542,0
다사639552,0
다사656553,0
다사656552,0
다사655549,0
다사621565,1
다사633566,0
다사659557,0
다사630562,0
다사645535,0
다사650544,0
다사655555,0
다사631535,0
다사654563,0
다사657564,0
다사642530,0
다사645540,0
다사658551,0
다사652548,0
다사656543,0
다사635562,0
다사649562,0
다사629535,0
다사659554,0
다사654568,0
다사652542,0
다사623539,0
다사652537,0
다사648568,0
다사626576,0
다사651542,0
다사651548,0
다사645573,0
다사634572,0
다사634564,0
다사642527,0
다사625537,0
다사644577,0
다사644526,0
다사656567,0
다사636570,0
다사628533,0
다사661574,0
다사622562,0
다사535522,1
다사568503,0
다사525510,1
다사545512,0
다사554513,0
다사555509,0
다사545517,0
다사572512,1
다사547517,0
다사550517,0
다사568517,0
다사571505,1
다사576517,0
다사578514,3
다사537516,1
다사565497,0
다사560514,0
다사566510,1
다사578521,0
다사536507,2
다사541510,0
다사552517,0
다사558516,0
