"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40543","11000UQ152PS202012080009","UQS500","UQSA52"," ","UQSA52","11000URZ202011160014","11000NTC202011160004","지하철역사","11000","111","EMA0009","2020-12-08 00:00:00.0","5718.68210840","1012.03912367"
"40544","11000UQ152PS202012080011","UQS500","UQSA52"," ","UQSA52","11000URZ202011160016","11000NTC202011160004","지하철역사","11000","113","EMA0009","2020-12-08 00:00:00.0","2044.55852746","279.62151498"
"40545","11000UQ152PS202012080019","UQS500","UQSA52"," ","UQSA52","11000URZ202011160007","11000NTC202011160004","지하철역사","11000","104","EMA0009","2020-12-08 00:00:00.0","3398.32142219","415.18153994"
"40546","11440UQ152PS202104210001","UQS200","UQS290"," ","UQS290","11440URZ202104190001","11440NTC202104190002","주차장시설 기타","11440"," ","EMA0009","2021-04-21 00:00:00.0","931.43670550","119.22994183"
"40547","11000UQ152PS202104210001","UQS500","UQS530"," ","UQS530","11000URZ202104190001","11680NTC202104190006","고속철도","11000"," ","EMA0009","2021-04-21 00:00:00.0","141518.96786923","16462.64174455"
"40548","11380UQ152PS202103160002","UQS200","UQS290"," ","UQS290","11380URZ202103030008","11380NTC202103030003","주차장시설 기타","11380","4","EMA0009","2021-03-16 00:00:00.0","5336.76695356","320.15668616"
"40549","11500UQ152PS202103180001","UQS200","UQS290"," ","UQS290","11500URZ202102260004","11000NTC202102260001","주차장시설 기타","11500","A","EMA0009","2021-03-18 00:00:00.0","1107.43417800","133.95209232"
"40550","11000UQ152PS202011130001","UQS200","UQS201"," ","UQS201","11000URZ202011060003","11200NTC202011060002","주차장","11000"," ","EMA0009","2020-11-13 00:00:00.0","14150.18478226","476.68662079"
"40551","11530UQ152PS202103030001","UQS500","UQSA52"," ","UQSA52","11530URZ202103020001","11000NTC202103020006","지하철역사","11530"," ","EMA0009","2021-03-03 00:00:00.0","6264.17102563","1032.05773912"
"40552","11230UQ152PS202104080021","UQS500","UQS510"," ","UQS510","11230URZ202008040058","11230NTC202008040003","일반철도","11230","3","EMA0009","2021-04-08 00:00:00.0","6832.76934350","684.17805775"
"40553","11230UQ152PS202104080011","UQS500","UQS510"," ","UQS510","11230URZ202008040058","11230NTC202008040003","일반철도","11230","3","EMA0009","2021-04-08 00:00:00.0","6832.76934350","684.17805775"
"40554","11560UQ152PS202011230001","UQS500","UQSA52"," ","UQSA52","11560URZ202011190003","11560NTC202011190003","지하철역사","11560"," ","EMA0009","2020-11-23 00:00:00.0","9337.32230596","794.71500464"
"40555","11000UQ152PS201912151698","UQS500","UQSA52"," ","UQSA52","11000URZ201703097615","11000NTC201703098036","아현동정차장","11000","7","EMA0009","2019-12-15 00:00:00.0","3451.61874075","590.05793417"
"40556","11000UQ152PS201912151699","UQS500","UQSA52"," ","UQSA52","11000URZ201708244428","11000NTC201708248259","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","8931.14496162","1207.98425150"
"40557","11000UQ152PS201912151700","UQS500","UQSA52"," ","UQSA52","11000URZ201301240005","11000NTC201301246735","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","1783.82169028","282.86441339"
"40558","11000UQ152PS201912151701","UQS500","UQSA52"," ","UQSA52","11000URZ201301240001","11000NTC201301246735","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","1878.41099933","297.58288261"
"40559","11000UQ152PS201912151702","UQS500","UQSA52"," ","UQSA52","11000URZ201311282085","11000NTC201311287013","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","6866.28322996","582.57734165"
"40560","11000UQ152PS201912151703","UQS500","UQS520"," ","UQS520","11000URZ201706130285","11000NTC201706138161","철도","11000","3","EMA0009","2019-12-15 00:00:00.0","7866.81242157","519.84045416"
