gid,ADM_DR_NM
다사631542,면목2동
다사623563,중화2동
다사649576,신내1동
다사637541,면목본동
다사631556,중화1동
다사635550,상봉2동
다사637553,상봉2동
다사637534,면목7동
다사651566,망우본동
다사642560,신내2동
다사625574,묵1동
다사639538,면목3·8동
다사625553,중화2동
다사650559,망우본동
다사623571,묵2동
다사636552,상봉2동
다사629563,중화1동
다사625561,중화2동
다사635527,면목4동
다사644546,망우3동
다사639560,상봉1동
다사633542,면목본동
다사642552,망우본동
다사657560,망우본동
다사625538,면목5동
다사638569,신내2동
다사645577,신내1동
다사649534,면목3·8동
다사656548,망우3동
다사644530,면목7동
다사655542,망우3동
다사641525,면목4동
다사655580,신내1동
다사636565,상봉1동
다사649571,신내1동
다사627531,면목4동
다사643533,면목7동
다사644529,면목7동
다사657579,신내1동
다사643534,면목7동
다사621564,이문2동
다사641574,신내1동
다사659556,망우본동
다사652540,면목3·8동
다사655565,망우본동
다사627530,면목4동
다사638529,면목4동
다사653570,신내1동
다사639526,면목4동
다사630534,면목5동
다사658579,신내1동
다사636523,중곡4동
다사653555,망우본동
다사620549,휘경1동
다사654548,망우3동
다사642524,중곡4동
다사656551,망우본동
다사657567,망우본동
다사641568,신내2동
다사650566,신내1동
다사657548,망우3동
다사658569,신내1동
다사661569,신내1동
다사659579,신내1동
다사653550,망우3동
다사657572,신내1동
다사650575,신내1동
다사658552,망우본동
다사621547,휘경2동
다사643538,면목3·8동
다사643530,면목7동
다사659562,망우본동
다사661568,신내1동
다사661577,신내1동
다사650572,신내1동
다사622543,휘경2동
다사659571,신내1동
다사642539,면목3·8동
다사633572,묵1동
다사620551,휘경1동
다사647570,신내1동
다사628530,면목4동
다사639523,중곡4동
다사620545,휘경2동
다사634576,묵1동
다사654566,망우본동
다사649569,망우본동
다사620544,휘경2동
다사648540,면목3·8동
다사622571,묵2동
다사652543,망우3동
다사620554,이문1동
다사621575,묵2동
다사653552,망우본동
다사662576,신내1동
다사640569,신내2동
다사635572,신내2동
다사651573,신내1동
다사622558,이문2동
다사648572,신내1동
다사660573,신내1동
다사643532,면목7동
다사660568,신내1동
다사638558,상봉1동
다사656579,신내1동
다사647538,면목3·8동
다사642529,면목7동
다사659573,신내1동
다사654578,신내1동
다사655569,망우본동
다사646575,신내1동
다사657570,신내1동
다사656563,망우본동
다사640552,상봉2동
다사635568,묵1동
다사621571,묵2동
다사648564,신내1동
다사637554,상봉1동
다사647537,면목3·8동
다사643577,신내1동
다사624576,묵2동
다사652570,신내1동
다사654544,망우3동
다사635565,상봉1동
다사623561,중화2동
다사640530,면목7동
다사644578,신내1동
다사631552,상봉1동
다사644535,면목7동
다사622568,묵2동
다사656544,망우3동
다사633579,묵1동
다사627527,면목4동
다사656566,망우본동
다사649564,신내1동
다사653544,망우3동
