gid,lbl,val
다사697497,222.000000,222.000000
다사667485,367.000000,367.000000
다사668497,470.000000,470.000000
다사711508,64.000000,64.000000
다사706505,566.000000,566.000000
다사677492,501.000000,501.000000
다사689497,360.000000,360.000000
다사681491,241.000000,241.000000
다사686501,219.000000,219.000000
다사667477,209.000000,209.000000
다사682481,222.000000,222.000000
다사690505,518.000000,518.000000
다사708523,272.000000,272.000000
다사690510,603.000000,603.000000
다사717516,223.000000,223.000000
다사691510,344.000000,344.000000
다사684495,231.000000,231.000000
다사695495,0.000000,0.000000
다사686509,397.000000,397.000000
다사670480,703.000000,703.000000
다사677476,161.000000,161.000000
다사679498,303.000000,303.000000
다사716512,462.000000,462.000000
다사707530,0.000000,0.000000
다사703503,86.000000,86.000000
다사678500,423.000000,423.000000
다사674474,547.000000,547.000000
다사701511,345.000000,345.000000
다사670473,227.000000,227.000000
다사688471,0.000000,0.000000
다사671502,138.000000,138.000000
다사685500,99.000000,99.000000
다사688493,264.000000,264.000000
다사713516,64.000000,64.000000
다사707509,12.000000,12.000000
다사682507,336.000000,336.000000
다사670505,793.000000,793.000000
다사677506,286.000000,286.000000
다사716517,459.000000,459.000000
다사673489,211.000000,211.000000
다사673499,552.000000,552.000000
다사673473,602.000000,602.000000
다사703515,44.000000,44.000000
다사682495,506.000000,506.000000
다사673492,134.000000,134.000000
다사671503,218.000000,218.000000
다사675476,508.000000,508.000000
다사714501,546.000000,546.000000
다사682499,626.000000,626.000000
다사671500,182.000000,182.000000
다사675480,538.000000,538.000000
다사668496,249.000000,249.000000
다사709499,224.000000,224.000000
다사682488,125.000000,125.000000
다사679505,530.000000,530.000000
다사691513,977.000000,977.000000
다사675493,362.000000,362.000000
다사674490,417.000000,417.000000
다사716511,153.000000,153.000000
다사699498,41.000000,41.000000
다사670488,60.000000,60.000000
다사709506,348.000000,348.000000
다사687493,565.000000,565.000000
다사677480,563.000000,563.000000
다사710499,305.000000,305.000000
다사680505,944.000000,944.000000
다사715518,256.000000,256.000000
다사671483,528.000000,528.000000
다사691488,92.000000,92.000000
다사717513,159.000000,159.000000
다사680506,442.000000,442.000000
다사676507,260.000000,260.000000
다사680482,30.000000,30.000000
다사668501,326.000000,326.000000
다사672501,221.000000,221.000000
다사694512,255.000000,255.000000
다사683478,1608.000000,1608.000000
다사674489,422.000000,422.000000
다사669483,184.000000,184.000000
다사673494,469.000000,469.000000
다사688477,0.000000,0.000000
다사704511,299.000000,299.000000
다사686511,346.000000,346.000000
다사676496,245.000000,245.000000
다사664494,14.000000,14.000000
다사705528,0.000000,0.000000
다사684503,235.000000,235.000000
다사676494,284.000000,284.000000
다사693512,146.000000,146.000000
다사704502,479.000000,479.000000
다사688496,289.000000,289.000000
다사669476,350.000000,350.000000
다사702501,427.000000,427.000000
다사686481,291.000000,291.000000
다사671486,129.000000,129.000000
다사689485,324.000000,324.000000
다사672495,352.000000,352.000000
다사684499,431.000000,431.000000
다사670492,17.000000,17.000000
다사710510,374.000000,374.000000
다사700509,1284.000000,1284.000000
다사674475,603.000000,603.000000
다사672496,275.000000,275.000000
다사668493,69.000000,69.000000
다사686488,243.000000,243.000000
다사664493,37.000000,37.000000
다사668474,110.000000,110.000000
다사674487,1863.000000,1863.000000
다사685479,126.000000,126.000000
다사705499,419.000000,419.000000
다사691514,133.000000,133.000000
다사669484,554.000000,554.000000
다사672485,405.000000,405.000000
다사670481,867.000000,867.000000
다사691518,0.000000,0.000000
다사701502,93.000000,93.000000
다사665494,419.000000,419.000000
다사683496,59.000000,59.000000
다사693500,359.000000,359.000000
다사691503,490.000000,490.000000
다사685509,905.000000,905.000000
다사673483,462.000000,462.000000
다사688514,6.000000,6.000000
